,numero_hab,rue,code_postal,insee,commune,geometry,type
2718,5,Rue de la Division Leclerc,91320,91689,Wissous,POINT (2.3267587054629 48.731804088381),defibrillateurs
2719,88,RUE GUILLAUME BIGOURDAN,91320,91689,Wissous,POINT (2.33278 48.73288),defibrillateurs
2720,2 bis,RUE GEORGES COLLIN,91320,91689,Wissous,POINT (2.32395 48.72902),defibrillateurs
2721,10,Rue de la Division Leclerc,91320,91689,Wissous,POINT (2.3277502198009 48.732009582969),defibrillateurs
2722,13,PLACE LAMETTI,91320,91689,Wissous,POINT (2.32434 48.73477),defibrillateurs
2723,4,rue division de la division leclerc,91320,91689,Wissous,POINT (2.32582 48.73157),defibrillateurs
2724,41,rue Geneviève Anthonioz de Gaulle,91200,91027,Athis-Mons,POINT (2.393327 48.711638),defibrillateurs
2725,2,rue du Moulin des Noués,91840,91599,Soisy-sur-École,POINT (2.50401 48.47121),defibrillateurs
2726,24,Grande rue,91250,91435,Morsang-sur-Seine,POINT (2.493091 48.570667),defibrillateurs
2727,7,RUE DU 8 MAI 1945,91470,91338,Limours,POINT (2.062735 48.64592),defibrillateurs
2728,91 z,rue de Paris,91120,91477,Palaiseau,POINT (2.245721 48.714536),defibrillateurs
2729,1,place de la Mairie,91470,91482,Pecqueuse,POINT (2.048632 48.646648),defibrillateurs
2730,15,rue de la Croix Bussière,91840,91599,Soisy-sur-École,POINT (2.49664 48.47599),defibrillateurs
2731,7,RUE HENRI DUNAN,91140,91661,Villebon-sur-Yvette,POINT (2.247646 48.704945),defibrillateurs
2732,18,rue de Ris,91170,91687,Viry-Châtillon,POINT (2.38884 48.67629),defibrillateurs
2733,11,BD ARAGO,91320,91689,Wissous,POINT (2.317655 48.729118),defibrillateurs
2734,,LA BENERIE,91470,91338,Limours,POINT (2.09522 48.655804),defibrillateurs
2735,19 ter,RUE GUTENBERG,91070,91086,Bondoufle,POINT (2.38001 48.6201999),defibrillateurs
2736,14,RUE DU TAILLEFER,91160,91136,Champlan,POINT (2.282389 48.705559),defibrillateurs
2737,21,place de la mairie,91190,91538,Saint-Aubin,POINT (2.140082 48.715107),defibrillateurs
2738,1,Parc des Tourelles,91530,91540,Saint-Chéron,POINT (2.124382 48.554356),defibrillateurs
2739,1,route de Paris,91410,91546,Saint-Cyr-sous-Dourdan,POINT (2.034172 48.570145),defibrillateurs
2740,3 a,rue de Bauguignette,91530,91568,Saint-Maurice-Montcouronne,POINT (2.123966 48.581158),defibrillateurs
2741,15,rue de la Fontaine du Saule,91530,91568,Saint-Maurice-Montcouronne,POINT (2.13227 48.582436),defibrillateurs
2742,13,rue des Noblets,91770,91579,Saint-Vrain,POINT (2.334604 48.541699),defibrillateurs
2743,21,AVENUE DE L'OCEANIE,91940,91692,Les Ulis,POINT (2.19922 48.67845),defibrillateurs
2744,4 a,chemin des Sources,91580,91602,Souzy-la-Briche,POINT (2.149025 48.530171),defibrillateurs
2745,7,"Place Pierre Semart,",91300,91377,Massy,POINT (2.25631 48.72476),defibrillateurs
2746,11,rue du Lavoir,91370,91645,Verrières-le-Buisson,POINT (2.253049 48.738761),defibrillateurs
2747,3 bis,PLACE DE LA MAIRIE,91810,91648,Vert-le-Grand,POINT (2.358815 48.573315),defibrillateurs
2748,7,place de la mairie,91810,91648,Vert-le-Grand,POINT (2.359091 48.573188),defibrillateurs
2749,18,AV DE LA CROIX BLANCHE,91700,91549,Sainte-Geneviève-des-Bois,POINT (2.346295 48.62151),defibrillateurs
2750,8 d,rue de Concy,91330,91691,Yerres,POINT (2.488886 48.713671),defibrillateurs
3747,6,Rue du Maine,92140,92023,Clamart,POINT (2.242536 48.785608),defibrillateurs
3748,77,"136/140, avenue de la Division Leclerc",92160,92002,Antony,POINT (2.303749 48.747017),defibrillateurs
3750,34,chemin latéral,92220,92007,Bagneux,POINT (2.29855 48.7997),defibrillateurs
3751,15,15 rue Charles Duflos,92270,92009,Bois-Colombes,POINT (2.26787 48.91453),defibrillateurs
3752,29,RUE DU PROFESSEUR VICTOR PAUCHET,92420,92076,Vaucresson,POINT (2.17466 48.848141),defibrillateurs
3753,11 ter,"11, rue de Clamart",92100,92012,Boulogne-Billancourt,POINT (2.24326 48.831038),defibrillateurs
3754,36,Quai Alphonse le Gallo,92100,92012,Boulogne-Billancourt,POINT (2.22547 48.83522),defibrillateurs
3755,1,"6, boulevard Carnot",92340,92014,Bourg-la-Reine,POINT (2.31616 48.779089),defibrillateurs
3756,63,RUE PAUL VAILLANT COUTURIER,92240,92046,Malakoff,POINT (2.29531 48.8142799),defibrillateurs
3757,37,AVENUE EDOUARD VAILLANT,92100,92012,Boulogne-Billancourt,POINT (2.2516 48.83611),defibrillateurs
3758,307,Avenue de la Division Leclerc,92290,92019,Châtenay-Malabry,POINT (2.259465 48.765592),defibrillateurs
3759,8,rue de Verdun,92290,92019,Châtenay-Malabry,POINT (2.2707799 48.7654),defibrillateurs
3760,28,rue du Dr Le Savoureux,92290,92019,Châtenay-Malabry,POINT (2.27731 48.766992),defibrillateurs
3761,168,Avenue de la division Leclerc,92290,92019,Châtenay-Malabry,POINT (2.27669 48.76327),defibrillateurs
3762,293,avenue de la division Leclerc,92290,92019,Châtenay-Malabry,POINT (2.26611 48.764648),defibrillateurs
3763,22,22 Rue du Docteur le Savoureux 92290 Châtenay-Malabry,92290,92019,Châtenay-Malabry,POINT (2.27775 48.76685),defibrillateurs
3764,22,rue du Dr Le Savoureux,92290,92019,Châtenay-Malabry,POINT (2.27754 48.76694),defibrillateurs
3765,1,3 Parvis Robert Schuman,92370,92022,Chaville,POINT (2.1897 48.798161),defibrillateurs
3766,25,Rue du val,92370,92022,Chaville,POINT (2.195877 48.814136),defibrillateurs
3767,62 bis,55 avenue jean Jaurès,92140,92023,Clamart,POINT (2.26589 48.80389),defibrillateurs
3768,17,rue Martre,92110,92024,Clichy,POINT (2.3060979 48.9040846),defibrillateurs
3769,17,allée de l'Europe,92110,92024,Clichy,POINT (2.308686 48.910812),defibrillateurs
3770,6,rue Pierre Curie,92110,92024,Clichy,POINT (2.31376 48.90178),defibrillateurs
3771,12 bis,12 rue du Landy,92110,92024,Clichy,POINT (2.30435 48.904517),defibrillateurs
3772,6,allée Jean Prouvé,92110,92024,Clichy,POINT (2.318327 48.906517),defibrillateurs
3773,82 bis,RUE MARCEL DASSAULT,92100,92012,Boulogne-Billancourt,POINT (2.25025 48.83447),defibrillateurs
3774,19,Rue de Vanves,92100,92012,Boulogne-Billancourt,POINT (2.25263 48.83393),defibrillateurs
3775,30,30 Rue du Docteur le Savoureux 92290 Châtenay-Malabry,92290,92019,Châtenay-Malabry,POINT (2.27701 48.76703),defibrillateurs
3776,168,avenue de la division Leclerc,92290,92019,Châtenay-Malabry,POINT (2.27669 48.76327),defibrillateurs
3777,23,Quai des Grésillions,92230,92036,Gennevilliers,POINT (2.32314 48.92019),defibrillateurs
3778,20,Quai du Président Carnot,92210,92064,Saint-Cloud,POINT (2.2227853 48.8444011),defibrillateurs
3779,22,boulevard Franck Kupka,92800,92062,Puteaux,POINT (2.23434 48.89054),defibrillateurs
3780,4,Place Saverne,92400,92026,Courbevoie,POINT (2.25204 48.89299),defibrillateurs
3781,247,avenue de la division Leclerc,92290,92019,Châtenay-Malabry,POINT (2.27004 48.76422),defibrillateurs
3782,280,avenue Jean jaurès,92290,92019,Châtenay-Malabry,POINT (2.25566 48.76746),defibrillateurs
3783,1,impasse de Sceaux,92290,92019,Châtenay-Malabry,POINT (2.2812 48.76795),defibrillateurs
3784,116,rue Fonds de la Noue,92390,92078,Villeneuve-la-Garenne,POINT (2.32935 48.9331),defibrillateurs
3785,9,rue Paul Dautier,78140,,Vélizy-Villacoublay,POINT (2.27852 48.79133),defibrillateurs
3786,33,rue Mederic,92110,92024,Clichy,POINT (2.29989 48.9056),defibrillateurs
3787,351,BD DES PROVINCES,92000,92050,Nanterre,POINT (2.21623 48.9011799),defibrillateurs
3788,100,rue Léonard de Vinci,92290,92019,Châtenay-Malabry,POINT (2.25191 48.76495),defibrillateurs
3789,28,avenue de Verdun,92390,92078,Villeneuve-la-Garenne,POINT (2.33313 48.93576),defibrillateurs
3790,44,rue Perier,92120,92049,Montrouge,POINT (2.31542 48.81432),defibrillateurs
3791,249,rue de la Garenne,92000,92050,Nanterre,POINT (2.22554 48.89875),defibrillateurs
3792,71,RUE DU CHEMIN VERT,92100,92012,Boulogne-Billancourt,POINT (2.25117 48.83652),defibrillateurs
3793,63,RUE NATIONALE,92100,92012,Boulogne-Billancourt,POINT (2.240905 48.828434),defibrillateurs
3794,96,Boulevard Bineau,92200,92051,Neuilly-sur-Seine,POINT (2.27653 48.88785),defibrillateurs
3795,26,22 rue Jean Jaurès,92260,92032,Fontenay-aux-Roses,POINT (2.28484 48.791162),defibrillateurs
3796,89,boulevard du Général Leclerc,92110,92024,Clichy,POINT (2.309 48.90666),defibrillateurs
3797,60,62 rue du Général Leclerc,92130,92040,Issy-les-Moulineaux,POINT (2.27408 48.824508),defibrillateurs
3798,22,31 Bvd Gambetta,92130,92040,Issy-les-Moulineaux,POINT (2.27744 48.827421),defibrillateurs
3799,106,101 rue Rivay,92300,92044,Levallois-Perret,POINT (2.28572 48.89895),defibrillateurs
3800,26,28 avenue de l'Europe,92300,92044,Levallois-Perret,POINT (2.2826 48.897852),defibrillateurs
3801,74,74 anevue Pierre Larousse,92240,92046,Malakoff,POINT (2.3051 48.82063),defibrillateurs
3802,24,QUAI DE DION BOUTON,92800,92062,Puteaux,POINT (2.24348 48.87928),defibrillateurs
3803,18,"15, rue de Porto Riche",92190,92048,Meudon,POINT (2.23376 48.812533),defibrillateurs
3804,40,BLD DES BOUVETS,92000,92050,Nanterre,POINT (2.226635 48.896015),defibrillateurs
3805,56,32 avenue de l'Ile Saint Martin,92000,92050,Nanterre,POINT (2.21973 48.917301),defibrillateurs
3806,7,7 rue des Longues Raies,92000,92050,Nanterre,POINT (2.23011 48.891801),defibrillateurs
3807,124,124 rue Alfred Déquéant,92000,92050,Nanterre,POINT (2.22259 48.908488),defibrillateurs
3808,25 bis,"23, rue du Château",92200,92051,Neuilly-sur-Seine,POINT (2.26237 48.88682),defibrillateurs
3809,102,102 Bvd Richard Wallace,92800,92062,Puteaux,POINT (2.23418 48.882593),defibrillateurs
3810,102,102 Bvd Richard Wallace,92800,92062,Puteaux,POINT (2.23418 48.882593),defibrillateurs
3811,63,avenue Napoléon Bonaparte,78380,78092,Bougival,POINT (2.15278 48.86837),defibrillateurs
3812,23,BOULEVARD DU PARC,92200,92051,Neuilly-sur-Seine,POINT (2.2648799 48.89318),defibrillateurs
3813,20,Rue de Wolfenbuttel,92310,92072,Sèvres,POINT (2.21383 48.813778),defibrillateurs
3814,5,rue Paul Vaillant Couturier,92140,92023,Clamart,POINT (2.26634 48.801591),defibrillateurs
3815,64,boulevard Senard,92210,92064,Saint-Cloud,POINT (2.220737 48.855945),defibrillateurs
3816,5,8 rue Auguste Comte,92170,92075,Vanves,POINT (2.29599 48.825932),defibrillateurs
3817,9,RUE HENRI SAINTE CLAIRE DEVILLE,92500,92063,Rueil-Malmaison,POINT (2.173175 48.892414),defibrillateurs
6096,13,place de la Mairie,77650,77260,Longueville,POINT (3.24711 48.514332),defibrillateurs
6919,68,rue Brillant Savarin,75013,75113,Paris,POINT (2.3436499 48.82278),defibrillateurs
6920,106,rue du Chevaleret,75013,75113,Paris,POINT (2.37152 48.8324),defibrillateurs
6921,106,rue du Chevaleret,75013,75113,Paris,POINT (2.37152 48.8324),defibrillateurs
6922,106,rue du Chevaleret,75013,75113,Paris,POINT (2.37152 48.8324),defibrillateurs
6923,106,rue du Chevaleret,75013,75113,Paris,POINT (2.37152 48.8324),defibrillateurs
6924,106,rue du Chevaleret,75013,75113,Paris,POINT (2.37152 48.8324),defibrillateurs
6925,136,rue Nationale,75013,75113,Paris,POINT (2.36444 48.8304),defibrillateurs
6926,9,rue Lebouis,75014,75114,Paris,POINT (2.3218 48.83661),defibrillateurs
6927,192,rue de Tolbiac,75013,75113,Paris,POINT (2.34951 48.82578),defibrillateurs
6928,11 bis,rue Louis David,75016,75116,Paris,POINT (2.28092 48.86149),defibrillateurs
6929,43,rue d'Amsterdam,75008,75108,Paris,POINT (2.32699 48.87943),defibrillateurs
6930,56,rue La Fayette,75009,75109,Paris,POINT (2.34214 48.87542),defibrillateurs
