,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
2973,,,"SRID=3857;POLYGON((286587.876830276 6251803.97814776,286588.845309846 6251800.17076061,286590.882456528 6251800.83070759,286591.439053982 6251799.39236166,286593.376013121 6251800.05230859,286595.747118275 6251792.33600932,286603.539482631 6251794.80657805,286601.190641375 6251802.86131402,286602.58213501 6251803.40280915,286599.899335282 6251812.08365767,286592.763755922 6251810.05304903,286592.218290417 6251811.23757068,286588.544747221 6251810.06997077,286589.602282384 6251804.84115575,286587.876830276 6251803.97814776))",POINT (2.574537209531482 48.86391990958433),,,,,,police
2980,Commissariat de police de Coulommiers,police,,POINT (3.086663599999976 48.8134811997386),19,Rue du palais de Justice,77120,Coulommiers,,police
2984,Commissariat de police de Garges les Gonesse,police,,POINT (2.40222650000002 48.97056229969962),,,,,,police
3033,Commissariat de police de Deuil-la-Barre,police,,POINT (2.318293699999963 48.96787049970031),9,Rue du Château,95170,Deuil-la-Barre,,police
3051,Brigade de gendarmerie d'Ablis,gendarmerie,"SRID=3857;POLYGON((204020.329209511 6193619.7499797,204021.075050099 6193614.23755932,204026.173482777 6193614.94341783,204026.974983111 6193609.17890839,204044.28516393 6193611.61579966,204042.70442716 6193623.06079489,204044.340823675 6193623.31288746,204043.594983087 6193628.84211991,204041.936322674 6193628.62363953,204040.400113701 6193639.90059557,204023.089932882 6193637.46369621,204025.427642189 6193620.43903251,204020.329209511 6193619.7499797))",POINT (1.832862248103354 48.51892735671317),,,,,,police
3052,Brigade de gendarmerie de Palaiseau,gendarmerie,"SRID=3857;POLYGON((250233.680728616 6225950.82562097,250249.599415799 6225948.86867748,250249.34338097 6225946.45623915,250266.675825687 6225944.16189284,250266.987520261 6225946.79364307,250271.395772096 6225946.18631602,250272.575758699 6225956.9663776,250276.149114353 6225956.51088177,250274.924599955 6225944.8704409,250287.281063433 6225943.33525351,250320.587855078 6225939.18518789,250322.691793454 6225957.67492674,250291.232905356 6225961.53820754,250235.68447945 6225968.43813267,250233.680728616 6225950.82562097))",POINT (2.248287707491318 48.71092980879715),,,,,,police
3063,Commissariat de police de Paris 13ème arrondissement,police,"SRID=3857;POLYGON((262230.114709545 6246558.95410988,262237.662171021 6246558.85264238,262254.026136168 6246558.59897364,262272.215740963 6246558.34530491,262287.110288832 6246558.12545868,262287.177080526 6246561.32168518,262287.310663915 6246567.81560939,262287.310663915 6246568.44132631,262278.828118717 6246568.55970519,262279.128681342 6246584.84527284,262287.533302897 6246584.67615983,262287.689150184 6246596.29423166,262280.063765064 6246596.3956996,262259.013249355 6246596.70010345,262237.539719581 6246596.98759598,262230.66017505 6246597.08906394,262230.203765138 6246564.78849306,262230.114709545 6246558.95410988))",POINT (2.355897195169677 48.83303154980629),,,,,,police
3074,,,"SRID=3857;POLYGON((263203.648184329 6264736.10903391,263259.508304809 6264727.55050032,263267.434252553 6264776.98674353,263252.383857398 6264779.24078551,263253.920066371 6264789.40940338,263269.026121272 6264786.91809087,263272.042879472 6264805.71311288,263248.164848697 6264826.54191014,263229.50770204 6264829.42303341,263216.705960599 6264745.53190468,263205.32910864 6264747.24361435,263203.648184329 6264736.10903391))",POINT (2.364742116435608 48.94052065234946),,,,,,police
3075,Commissariat de police d'Élancourt,police,,POINT (1.94934120000001 48.76568909975046),1,Rue du Théâtre,78990,Élancourt,,police
3082,,police_municipale,,POINT (2.526951999999961 48.77471609974819),,,,,,police
3090,,police_municipale,,POINT (2.239227000000004 48.78233109974633),,,,,,police
3091,Commissariat de police de Provins,police,"SRID=3857;POLYGON((367450.277018867 6201291.85982694,367470.4258467 6201289.50484212,367472.095639062 6201304.30761464,367478.106891565 6201303.63476079,367479.442725454 6201288.49556312,367485.453977957 6201287.82271051,367480.444600872 6201366.88325576,367461.186328964 6201368.0607588,367450.277018867 6201291.85982694))",POINT (3.301029391675353 48.56473670955244),44,Avenue Alain Peyrefitte,,Provins,,police
3104,Commissariat de police de Lagny sur Marne,police,,POINT (2.704978100000031 48.87601379972308),9,Allée Vieille et Gentil,77400,Lagny-sur-Marne,,police
3114,,police_municipale,,POINT (2.308933900000025 48.69456339976806),,,,,,police
3145,,,,POINT (2.304293199999974 48.87553599972319),,,,,,police
3149,,police_municipale,,POINT (2.637865599999972 48.85163629972914),7,Rue de la Mogotte,77200,Torcy,,police
