,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
1237,Brigade de gendarmerie de Magny-en-Vexin,gendarmerie,"SRID=3857;POLYGON((198949.025091085 6300522.98822852,198953.611454106 6300495.22935908,198973.225948384 6300500.53944843,198984.647328139 6300503.6370021,198989.189163363 6300504.86240826,198988.955392433 6300506.66647877,199002.347127175 6300509.10027261,198997.270958395 6300537.69314795,198984.324501616 6300533.72758266,198988.209551844 6300509.67893698,198967.59318215 6300503.89229503,198966.390931649 6300509.54278065,198963.006819129 6300508.74286228,198959.756289998 6300526.22194703,198949.025091085 6300522.98822852))",POINT (1.787435341899561 49.15095719479258),,,,,,police
1252,,police_municipale,,POINT (2.07231650000001 48.70618619976521),,,,,,police
1256,Commissariat de police de Choisy-le-Roi,police,,POINT (2.406246300000013 48.76392429975089),9,Avenue Léon Gourdault,94600,Choisy-le-Roi,,police
1259,Brigade de gendarmerie de Montfort-l'Amaury,gendarmerie,"SRID=3857;POLYGON((201540.130954637 6237540.01333787,201555.248141486 6237531.9890408,201567.971959284 6237554.62602468,201588.265502456 6237543.52713772,201592.295268022 6237551.38251283,201584.725542648 6237555.6058358,201575.630740251 6237560.67382613,201573.203975351 6237556.46739394,201554.813995472 6237565.72492617,201540.130954637 6237540.01333787))",POINT (1.810662244036327 48.77961967771927),,,,,,police
1262,,police_municipale,,POINT (2.319576399999958 48.81566059973804),,,,,,police
1263,,police_municipale,,POINT (2.48991709999996 48.7153763997629),,,,,,police
1273,Commissariat de police de Savigny-sur-Orge,police,"SRID=3857;POLYGON((260193.391042094 6222790.86536079,260197.921745369 6222783.78251469,260199.190787564 6222784.60884643,260200.292850523 6222782.88872739,260199.023808328 6222782.07925973,260203.376400418 6222775.29997108,260209.955382324 6222779.54967378,260216.333989146 6222769.73488742,260217.836802272 6222769.09405984,260220.430546407 6222768.13281856,260223.079950288 6222767.39080782,260225.796145863 6222766.80057206,260228.523473388 6222766.41270286,260231.295328709 6222766.22720021,260234.05605208 6222766.22720021,260236.816775452 6222766.41270286,260239.544102976 6222766.80057206,260242.260298552 6222767.39080782,260244.909702433 6222768.13281856,260247.525710466 6222769.09405984,260250.041530958 6222770.2070762,260252.479427807 6222771.52245935,260254.828269062 6222773.00648161,260257.065790827 6222774.60855139,260259.180861152 6222776.39612434,260261.128952241 6222778.28488109,260259.804250301 6222781.53961466,260257.611256332 6222786.6831081,260257.088054725 6222787.82985459,260252.368108316 6222797.62779793,260250.954350783 6222800.37662055,260248.394002494 6222805.04793465,260247.648161906 6222804.57574394,260243.12859058 6222811.60801548,260244.074806252 6222812.53553374,260242.727840413 6222814.67725812,260240.59050619 6222818.01632554,260238.920713828 6222820.44473904,260237.840914767 6222819.7364517,260199.936628152 6222795.14879915,260193.391042094 6222790.86536079))",POINT (2.337684663126704 48.69216800295111),,,,,,police
1277,Commissariat de police de Meaux,police,,POINT (2.88943079999999 48.95548439970336),,Avenue Salvador Allende,77100,Meaux,,police
1283,,police_municipale,"SRID=3857;POLYGON((247195.727297071 6224130.20283526,247210.644108837 6224130.0341694,247210.97806731 6224143.52744926,247195.949936052 6224143.86478153,247195.727297071 6224130.20283526))",POINT (2.220665113962659 48.70015880272499),18,Rue des Casseaux,,,,police
1296,,police_municipale,,POINT (2.710797800000034 48.83907849973221),,,,,,police
1309,,,,POINT (2.267843300000026 48.90152419971672),,,,,,police
1323,,police_municipale,,POINT (2.552077000000042 48.63159119978367),,,,,,police
1347,,police_municipale,,POINT (2.474548600000018 48.81925829973715),,,,,,police
1363,Commissariat de police des Mureaux,police,"SRID=3857;POLYGON((212721.862110247 6272498.94301242,212723.865861081 6272476.55166343,212750.025941417 6272479.09613192,212750.025941417 6272477.23018829,212772.957756521 6272477.56945074,212773.403034484 6272495.2111168,212773.959631938 6272504.03196365,212772.735117539 6272568.32264463,212750.693858362 6272566.4566813,212746.575037203 6272508.61202237,212749.580663454 6272508.44239052,212749.691982945 6272501.65711936,212721.862110247 6272498.94301242))",POINT (1.911217782424816 48.98616958807977),,,,,,police
1383,,police_municipale,,POINT (2.272347199999991 48.63881629978186),,,,,,police
1406,,police_municipale,,POINT (2.150955700000006 48.896379099718),3,Rue des Beaunes,,,,police
1417,,police_municipale,"SRID=3857;POLYGON((294161.643101735 6240226.23143659,294166.763798311 6240207.47399127,294177.884615441 6240210.48193917,294190.47484985 6240213.89545437,294189.918252396 6240215.75429985,294200.604923512 6240218.62706186,294199.714367586 6240222.00678312,294203.944508236 6240223.02069976,294204.278466708 6240223.18968588,294204.723744672 6240223.52765813,294204.946383653 6240223.69664426,294205.280342126 6240224.03461652,294205.614300598 6240224.54157495,294205.725620089 6240225.04853341,294205.83693958 6240225.55549189,294205.83693958 6240225.89346423,294202.831313328 6240236.53959988,294190.697488832 6240233.32885915,294191.476725267 6240230.2871059,294186.356028691 6240228.76622968,294185.354153274 6240232.65291389,294172.619203527 6240229.20559389,294161.643101735 6240226.23143659))",POINT (2.642692082260637 48.79543647572664),,,,,,police
1418,Brigade de gendarmerie de Provins,gendarmerie,,POINT (3.305348399999986 48.55819099980183),,Rue du Colonel Arnaud Beltrame,,,,police
1433,Gendarmerie - Brigade de Cély,gendarmerie,,POINT (2.52780860000002 48.45870899982635),9,Rue Édouard Goerg,77930,Cély-en-Bière,,police
1442,,police_municipale,,POINT (2.30864769999998 48.60890689978928),,,,,,police
1444,Brigade de gendarmerie du Châtelet-en-Brie,gendarmerie,,POINT (2.790589999999988 48.50628999981463),,,,,,police
1446,,police_municipale,"SRID=3857;POLYGON((212783.61103179 6273590.66107283,212787.262311088 6273590.35569641,212787.195519393 6273589.8637011,212791.169625215 6273589.52439401,212790.835666742 6273583.26418053,212820.24627621 6273581.14351306,212821.070040442 6273592.71388124,212806.965860958 6273593.74876832,212807.032652653 6273595.56406235,212804.394380721 6273595.64888918,212804.683811397 6273601.85821569,212789.343985566 6273602.75738084,212788.965499297 6273597.09094548,212787.640797357 6273597.26059918,212787.674193204 6273596.56501904,212783.989518059 6273596.90432641,212783.61103179 6273590.66107283))",POINT (1.911633870000315 48.99251221258802),,,,,,police
1447,,police_municipale,"SRID=3857;POLYGON((268977.845831521 6267381.11077938,268978.480352619 6267370.65084612,268979.237325156 6267370.66779899,268979.426568291 6267368.14182029,268982.198423611 6267368.32830191,268982.165027764 6267367.8027628,268989.389662717 6267368.22658466,268989.055704244 6267373.65150636,268990.202295 6267373.73627079,268990.013051865 6267381.85670705,268977.845831521 6267381.11077938))",POINT (2.416325463004752 48.95585983478799),12,Avenue Ambroise Croizat,,,,police
1454,Commissariat de police de Noisiel - Secteur Ozoir-la-Ferrière,police,"SRID=3857;POLYGON((297592.175849511 6234451.57471651,297592.509807983 6234439.584874,297606.536063823 6234439.92261581,297606.424744333 6234451.9124588,297592.175849511 6234451.57471651))",POINT (2.673380992684188 48.76124159282475),4,Rue Jean Mermoz,77330,Ozoir-la-Ferrière,,police
1460,Commissariat de police de Suresnes,police,,POINT (2.225342099999963 48.86831529972497),1,Place du Moutier,92150,,,police
1471,,police_municipale,,POINT (2.518791100000005 48.83710109973271),,,,,,police
1473,Gendarmerie - Brigade de l'Isle-Adam,gendarmerie,,POINT (2.216108400000034 49.11202409966462),,,,,,police
1494,,police_municipale,,POINT (1.961019600000009 48.73959309975695),,,,,,police
1503,,police_municipale,,POINT (1.843979999999995 48.9912590996945),,,,,,police
1538,Commissariat de police de Rambouillet,police,"SRID=3857;POLYGON((203084.36606287 6215460.29629401,203094.106518314 6215449.49584954,203115.424200801 6215426.27746783,203121.179418475 6215420.09377309,203123.41694024 6215417.98761106,203126.467094288 6215416.10049033,203131.777033999 6215413.32035786,203134.125875255 6215412.4441951,203137.665835062 6215411.7702238,203141.829184018 6215411.73652524,203146.716109663 6215412.02296303,203148.140999146 6215412.4441951,203149.332117697 6215413.72474071,203150.089090234 6215414.4829586,203149.599284475 6215416.10049033,203142.396913421 6215424.28924941,203145.758762043 6215427.6422621,203136.586036001 6215437.98774676,203135.528500839 6215439.04925486,203138.200168618 6215441.86309442,203128.292733937 6215452.66352918,203125.821441241 6215449.68119247,203123.461468037 6215452.41078874,203124.808433875 6215453.65764165,203124.808433875 6215454.16312261,203112.518762092 6215467.49098149,203110.815573883 6215465.95768692,203098.225339474 6215479.55515495,203097.991568543 6215470.15318589,203096.321776181 6215468.65358963,203094.874622801 6215470.40592686,203094.2846295 6215469.91729433,203093.215962388 6215471.02935461,203092.269746716 6215470.25428227,203089.820717919 6215468.26605357,203090.956176725 6215466.63166252,203084.36606287 6215460.29629401))",POINT (1.824635373368446 48.64858563546259),4,Rue Pasteur,78120,Rambouillet,,police
1545,Commissariat de police de Paris 7ème arrondissement,police,"SRID=3857;POLYGON((257350.079740201 6251470.52520986,257410.938105818 6251465.92268328,257411.082821155 6251468.10549888,257412.663557925 6251468.02089362,257414.255426643 6251487.88623339,257412.607898179 6251488.03852323,257412.696953772 6251489.12147326,257351.604817225 6251493.77477577,257350.079740201 6251470.52520986))",POINT (2.312101955037888 48.86201044664073),7,Rue Fabert,75007,Paris,,police
1564,Commissariat de police de Nanterre,police,"SRID=3857;POLYGON((245381.241861039 6256658.82483964,245413.313006336 6256624.36944932,245413.914131586 6256622.9472151,245414.949402851 6256620.89852097,245415.973542166 6256619.18845436,245416.65259106 6256618.17257337,245424.456087365 6256609.58838384,245471.154613752 6256652.13692735,245466.078444972 6256657.79202246,245464.519972101 6256656.45443974,245457.707219265 6256664.09051606,245448.100347209 6256655.23537719,245438.716114135 6256662.32964641,245442.089094706 6256669.1360869,245440.307982854 6256671.13399833,245437.725370667 6256673.30122483,245433.58428561 6256676.07798458,245429.83281877 6256677.80499416,245426.292858963 6256678.85474525,245422.931010341 6256679.5827985,245420.15915502 6256679.80290764,245417.520883088 6256679.7013188,245415.839958777 6256679.3457579,245414.804687513 6256679.04099142,245411.620950076 6256677.65261095,245410.752658048 6256677.22932426,245381.241861039 6256658.82483964),(245421.940266873 6256647.37920057,245429.265089367 6256653.7454121,245435.654828138 6256646.36331619,245428.352269542 6256639.96324742,245421.940266873 6256647.37920057))",POINT (2.204688469387337 48.89254963106456),54,Rue du 19 Mars 1962,92000,Nanterre,,police
1571,Commissariat de police de Villepinte,police,"SRID=3857;POLYGON((284082.119620316 6268094.72238421,284086.138253934 6268090.12776166,284094.565139387 6268094.24766294,284097.236807166 6268088.3306037,284144.881549225 6268105.69184371,284148.866786996 6268108.09936223,284155.612748138 6268132.49671884,284141.408381112 6268125.0537374,284140.651408575 6268126.59658722,284142.677423307 6268127.56298781,284128.027778319 6268157.33496171,284124.020276651 6268155.30042712,284119.868059644 6268153.21502969,284121.782754886 6268149.33246184,284119.779004051 6268148.41692208,284117.98676025 6268152.26558061,284101.466947816 6268143.90704251,284115.827162128 6268113.69430227,284118.532225754 6268115.03369756,284119.300330241 6268113.32130616,284082.119620316 6268094.72238421))",POINT (2.55232029949447 48.96025853884071),,,,,,police
1574,,police_municipale,,POINT (2.264083900000009 48.74609499975529),,,,,,police
1581,,police_municipale,"SRID=3857;POLYGON((230412.900302452 6237183.0661615,230413.301052619 6237181.22487332,230414.102552952 6237179.53561847,230416.161963532 6237177.42405037,230417.742700301 6237176.5456382,230420.436631979 6237176.02196945,230422.696417642 6237176.3767128,230424.399605851 6237177.1537697,230425.958078722 6237178.53895826,230428.006357353 6237177.10309207,230425.234502032 6237173.33605604,230438.626236774 6237163.6735318,230443.123544202 6237169.97444234,230446.952934685 6237167.035143,230451.817596433 6237173.52187392,230456.114528778 6237170.22783026,230460.712023748 6237176.4611755,230464.730657365 6237173.40362617,230469.550791317 6237180.07617998,230466.144414898 6237182.52559979,230471.554542151 6237190.1103594,230478.367294987 6237185.14394588,230491.191300327 6237202.83047259,230479.480489895 6237211.37812909,230467.747415566 6237195.12745356,230456.359431658 6237203.81024305,230465.498761852 6237216.34455797,230455.424347935 6237223.55770986,230449.234984247 6237214.87490014,230437.201347292 6237223.70974357,230430.967455808 6237215.26343034,230441.932425651 6237207.18876277,230436.199471875 6237199.55331013,230438.904535501 6237197.59377029,230441.3313004 6237195.8876196,230438.603972876 6237191.96854208,230435.987964842 6237193.92808061,230429.175212006 6237198.94517702,230424.989599152 6237193.45508851,230426.94882219 6237191.78272379,230425.13431449 6237189.35019387,230423.542445772 6237190.36374792,230421.27152816 6237191.05634325,230419.234381478 6237191.02255812,230417.03025556 6237190.34685535,230415.148956166 6237188.99544999,230413.735198633 6237187.13726796,230413.067281688 6237185.3804417,230412.900302452 6237183.0661615))",POINT (2.070165548941182 48.77750403009697),,,,,,police
1582,Commissariat de police de Montrouge,police,"SRID=3857;POLYGON((257492.334917486 6243651.81714344,257501.886129796 6243647.52316051,257503.555922158 6243646.74551028,257505.136658927 6243650.36327496,257504.713644862 6243651.37760178,257501.195948953 6243652.96671405,257507.251729252 6243666.37274746,257519.585928832 6243660.86156344,257513.619204125 6243647.67530947,257516.814073511 6243646.17072538,257514.899378269 6243641.62316387,257522.313256356 6243638.25898425,257522.814194065 6243639.35783674,257523.649090246 6243641.18362274,257535.560275761 6243667.26873785,257535.827442538 6243667.86042966,257504.034595968 6243682.09485655,257503.555922158 6243680.86075446,257499.147670322 6243669.5678834,257493.414716546 6243654.82631388,257492.334917486 6243651.81714344))",POINT (2.313293936601264 48.81578691418635),,,,,,police
1588,Brigade de gendarmerie de Mormant,gendarmerie,"SRID=3857;POLYGON((321747.870830554 6207996.95785009,321758.535237772 6207946.1175428,321774.487320802 6207949.48444117,321770.791513708 6207966.30211848,321803.875666372 6207973.25478158,321801.916443334 6207982.31177013,321769.066061601 6207975.37593417,321763.822913584 6208000.32476859,321747.870830554 6207996.95785009))",POINT (2.890490792076033 48.60423685215588),,,,,,police
1590,Commissariat de police de Lognes,police,,POINT (2.635777799999956 48.83545489973313),,,,,,police
1611,,police_municipale,,POINT (2.183601600000022 48.88168409972163),,,,,,police
1612,,police_municipale,,POINT (2.428123099999956 48.62342249978569),,,,,,police
1619,Commissariat de police de Bagneux,police,"SRID=3857;POLYGON((256779.467162344 6239957.54766696,256780.090551492 6239944.94170678,256780.257530728 6239941.86626089,256781.014503266 6239926.59043632,256781.871663345 6239909.57414645,256782.072038428 6239905.87348812,256793.693793267 6239906.6676932,256792.981348526 6239921.0309893,256800.139191784 6239921.25066343,256800.5510739 6239913.08892845,256803.08915829 6239913.19031641,256803.434248711 6239907.95193986,256803.434248711 6239907.34361247,256816.325045745 6239908.20540962,256816.046747018 6239913.84933821,256815.100531346 6239932.69062402,256814.376954656 6239947.17225065,256813.764697457 6239959.25437346,256813.208100003 6239970.62679292,256797.623371292 6239970.9816532,256798.391475778 6239955.8409608,256798.625246709 6239951.16019418,256791.489667349 6239950.78843665,256791.144576928 6239957.98701712,256779.467162344 6239957.54766696),(256792.268903785 6239935.37741169,256799.415615094 6239935.63088227,256799.972212548 6239924.63026613,256792.803237341 6239924.46128596,256792.268903785 6239935.37741169))",POINT (2.306863861450011 48.79374830483074),1,Rue des Mathurins,92220,Bagneux,,police
1622,,police_municipale,,POINT (2.385934899999999 48.70571199976528),3,Avenue Aristide Briand,91200,Athis-Mons,,police
1629,Commissariat de police de Colombes,police,"SRID=3857;POLYGON((251385.42557621 6261614.10686633,251395.232823349 6261611.87060885,251395.878476396 6261614.24239711,251410.416801893 6261610.83718703,251411.251698074 6261614.36098654,251414.123740937 6261613.75109806,251416.01617228 6261621.81518264,251417.986527267 6261621.40858995,251418.298221841 6261621.30694178,251418.576520568 6261621.27305906,251418.888215143 6261621.32388314,251419.199909717 6261621.39164859,251419.478208444 6261621.51023812,251419.745375222 6261621.67965174,251419.979146152 6261621.89988945,251420.134993439 6261622.15400989,251420.290840727 6261622.4250717,251420.402160217 6261622.71307488,251420.402160217 6261622.86554716,251421.726862158 6261628.40537511,251416.483714141 6261629.62515423,251395.132635807 6261634.60592078,251394.453586913 6261631.65811982,251389.600057115 6261632.81013387,251385.42557621 6261614.10686633))",POINT (2.258385128412399 48.92191644446464),5,Rue du 8 Mai 1945,92700,Colombes,,police
1634,,police_municipale,"SRID=3857;POLYGON((251868.997444216 6238014.01781533,251878.003191021 6238009.15228442,251891.060967291 6238036.55472057,251880.541275411 6238041.97777793,251873.194189019 6238027.71903019,251868.997444216 6238014.01781533))",POINT (2.262671916269578 48.78243743562512),,,,,,police
1645,,police_municipale,,POINT (2.472836099999959 49.03235839968435),,,,,,police
1651,,police,"SRID=3857;POLYGON((233414.585843896 6282870.88555664,233422.957069604 6282866.75844507,233435.7031513 6282890.97765533,233441.937042784 6282902.83252549,233430.482267181 6282909.30345735,233423.84762553 6282896.41255076,233423.112916891 6282896.76921589,233419.038623528 6282889.26226718,233424.57120222 6282886.35799696,233422.500659692 6282882.50262224,233420.94218682 6282883.08007913,233414.585843896 6282870.88555664))",POINT (2.096919555629829 49.0472889760297),,,,,,police
1660,Commissariat de Police Chaillot,police,,POINT (2.2905036 48.86521189972572),,,,,,police
1664,,police_municipale,,POINT (2.635941600000029 48.87658229972295),9 bis,Rue de la Liberté,77360,Vaires-sur-Marne,,police
1666,Brigade de gendarmerie de la Ferté-sous-Jouarre,gendarmerie,,POINT (3.128806100000016 48.94215189970665),,,,,,police
1677,Commissariat de police de Gagny,police,,POINT (2.532750800000033 48.88318699972131),,,,,,police
1680,,police_municipale,"SRID=3857;POLYGON((240913.400702203 6273279.55608661,240924.421331792 6273277.29977752,240928.094874988 6273293.75557947,240916.784814724 6273296.06278725,240913.400702203 6273279.55608661))",POINT (2.164227322085878 48.99071873281628),,,,,,police
1702,Commissariat de police de Torcy,police,,POINT (2.652761900000028 48.85057689972938),,,,,,police
1710,Brigade de gendarmerie de Houdan-Maulette,gendarmerie,"SRID=3857;POLYGON((180664.064019651 6239791.47493867,180671.578085279 6239747.79436359,180672.468641206 6239747.94644257,180672.624488493 6239747.1353547,180722.050342405 6239751.69772497,180710.595566802 6239767.22669995,180708.168801903 6239766.66907577,180707.367301569 6239770.70762752,180679.526296922 6239765.11448732,180674.661635174 6239793.31679378,180664.064019651 6239791.47493867))",POINT (1.623145378621045 48.79272121529631),,,,,,police
1719,Brigade de gendarmerie de Bondoufle,gendarmerie,"SRID=3857;POLYGON((264516.817425523 6210024.08403503,264525.500345805 6210019.3692273,264526.056943259 6210021.22147288,264531.734237289 6210019.7059992,264532.847432197 6210023.57887694,264534.517224559 6210023.07371887,264544.758617712 6210056.07744229,264542.977505859 6210056.58260232,264546.317090583 6210067.02258295,264531.177639835 6210072.07419108,264529.06256951 6210065.5071011,264527.838055111 6210061.80259103,264525.055067841 6210062.8129118,264523.273955989 6210052.03616316,264518.487217885 6210030.31432069,264519.711732283 6210029.64077608,264516.817425523 6210024.08403503))",POINT (2.376327206752855 48.61654354342029),,Route Départementale 194,91070,Bondoufle,,police
1722,,police_municipale,"SRID=3857;POLYGON((240142.546624307 6278867.7199646,240167.548981939 6278849.81035119,240169.419149385 6278848.4692537,240173.215144021 6278854.03735605,240156.951366416 6278865.66587431,240162.083194941 6278872.99948822,240151.0959612 6278879.8238291,240142.546624307 6278867.7199646))",POINT (2.157364200861233 49.02358862498438),,,,,,police
1736,Brigade de gendarmerie de Lorrez-le-Bocage-Préaux,gendarmerie,"SRID=3857;POLYGON((322800.185108972 6147107.91270585,322802.122068111 6147104.58646236,322804.582228858 6147106.47523363,322817.550949535 6147083.74314698,322814.389475997 6147081.87109548,322816.860768693 6147077.30797166,322821.402603917 6147080.43362764,322822.905417043 6147078.32757055,322821.135437139 6147077.30797166,322823.350695006 6147071.99268765,322828.104037263 6147074.48318195,322838.490145754 6147079.91547069,322823.718049325 6147106.57552238,322811.773467963 6147128.18777577,322801.420755319 6147109.21645993,322800.185108972 6147107.91270585))",POINT (2.899932078593519 48.24133037066863),,,,,,police
1739,Commissariat de police de Cergy,police,"SRID=3857;POLYGON((232098.243997215 6281319.64131894,232119.060741993 6281297.7360081,232120.396575883 6281298.92466693,232122.400326717 6281296.8869662,232118.726783521 6281293.4907994,232118.61546403 6281291.11348346,232118.170186067 6281290.6040587,232118.504144539 6281290.09463397,232118.949422502 6281290.43425046,232119.394700465 6281290.09463397,232118.949422502 6281289.58520928,232119.283380975 6281289.24559283,232119.839978429 6281289.75501751,232122.400326717 6281289.75501751,232125.851230931 6281292.9813745,232127.854981766 6281290.9436752,232126.185189404 6281289.41540106,232146.445336728 6281267.84978419,232150.675477378 6281271.92517213,232154.015062102 6281268.35920757,232156.4640909 6281268.18939978,232156.018812936 6281259.52920657,232158.801800206 6281256.64247748,232159.024439188 6281255.62363215,232159.35839766 6281256.47266992,232160.026314605 6281256.47266992,232160.026314605 6281255.7934397,232160.582912059 6281255.7934397,232160.582912059 6281256.64247748,232163.47721882 6281259.18959134,232163.58853831 6281268.18939978,232166.148886599 6281268.01959198,232169.488471322 6281271.41574853,232173.495972991 6281267.17055305,232194.869315223 6281287.5475108,232193.310842352 6281289.24559283,232195.203273696 6281291.28329172,232198.765497401 6281287.5475108,232201.103206708 6281287.5475108,232201.659804162 6281287.03808626,232201.993762634 6281287.37770262,232201.659804162 6281287.88712718,232201.993762634 6281288.22674357,232202.439040597 6281287.88712718,232202.77299907 6281288.22674357,232202.439040597 6281288.56635998,232202.327721106 6281291.11348346,232198.988136383 6281294.67945762,232200.991887217 6281296.71715782,232202.661679579 6281295.01907429,232224.702938756 6281315.90552547,232181.844934801 6281361.41439473,232178.505350077 6281358.18801159,232169.822429795 6281367.01811573,232168.152637433 6281365.82944733,232163.58853831 6281370.58412195,232163.47721882 6281371.60298114,232163.143260347 6281371.60298114,232163.031940856 6281370.92374167,232162.14138493 6281370.7539318,232162.14138493 6281371.77279102,232161.584787476 6281371.77279102,232161.696106967 6281370.7539318,232156.909368863 6281365.9992571,232155.12825701 6281367.8671647,232146.222697747 6281359.03705967,232142.994432514 6281362.26344313,232134.534151213 6281354.11258203,232135.313387649 6281353.43334396,232130.415330054 6281348.84848842,232129.636093618 6281349.52772612,232098.243997215 6281319.64131894))",POINT (2.085541417624579 49.03802992079495),,,,,,police
1754,,police,"SRID=3857;POLYGON((272216.95358293 6267825.47493438,272264.230970669 6267805.74074405,272265.488880916 6267808.70765117,272281.685866826 6267796.21274081,272282.153408687 6267797.31473352,272283.08849241 6267796.53486174,272284.30187486 6267795.89061989,272285.960535272 6267795.58545271,272286.906750944 6267795.61936018,272287.953154158 6267796.04320348,272288.743522542 6267796.60267667,272289.589550672 6267797.4503634,272290.413314904 6267798.43368011,272290.602558038 6267799.90865538,272290.513502446 6267801.58707584,272289.912377196 6267803.09595916,272288.175793139 6267804.4183515,272236.812980087 6267844.10717182,272234.675645864 6267839.12274759,272232.415860201 6267833.85011155,272233.261888331 6267833.20586686,272232.527179692 6267831.56134774,272231.681151562 6267832.20559231,272229.499289542 6267827.13640611,272222.764460349 6267829.96769033,272216.95358293 6267825.47493438))",POINT (2.445698915526218 48.95847992003699),,,,,,police
1755,Commissariat de police d'Aubervilliers,police,"SRID=3857;POLYGON((265772.456753874 6260347.9037031,265783.399459819 6260343.7536952,265780.894771277 6260337.14756439,265798.449854975 6260330.37205097,265799.318147003 6260332.35388809,265801.333029786 6260331.60858177,265800.5649253 6260329.52511217,265808.913887109 6260326.37450059,265809.080866345 6260326.84878613,265808.802567618 6260327.0351126,265811.641214634 6260334.14939903,265811.952909208 6260334.04776633,265812.253471833 6260334.81001165,265804.461107478 6260337.57103416,265805.796941367 6260340.90797668,265806.821080682 6260340.48450675,265807.121643308 6260341.12818106,265806.064108145 6260341.53471223,265806.832212631 6260343.65206238,265807.956539488 6260343.21165351,265808.156914572 6260343.80451162,265807.099379409 6260344.21104291,265808.268234063 6260347.32778351,265815.760035793 6260344.41430857,265818.520759165 6260352.32473415,265818.732266197 6260352.27391769,265819.099620517 6260352.98534818,265818.787925943 6260353.08698112,265816.427952738 6260353.93392227,265817.763786627 6260358.13475165,265821.659968805 6260360.67557689,265825.533887085 6260370.46623059,265826.201804029 6260372.16011646,265821.637704907 6260372.38032165,265815.593056557 6260373.5152254,265814.357410209 6260373.92175813,265812.453846916 6260369.51765465,265804.650350612 6260372.5327714,265805.15128832 6260373.90481926,265805.897128909 6260374.22665768,265807.322018391 6260376.1915662,265807.511261525 6260378.12259743,265807.33315034 6260378.93566334,265806.36467077 6260380.40934551,265805.229211964 6260381.10383949,265804.004697565 6260381.40873931,265802.468488592 6260381.37486155,265801.143786652 6260380.51097877,265800.19757098 6260379.46076845,265799.629841577 6260377.7160645,265800.130779286 6260375.36156168,265799.730029119 6260374.10808563,265798.127028451 6260374.58237385,265798.227215993 6260374.9042123,265795.96743033 6260376.27626054,265793.273498653 6260371.8044004,265784.067376764 6260375.90360544,265782.364188555 6260371.7197061,265783.800209986 6260371.12684604,265782.052493981 6260367.02764331,265780.549680855 6260367.62050308,265775.028234112 6260354.67923056,265772.456753874 6260347.9037031))",POINT (2.387708105242436 48.9144340324774),,,,,,police
1759,,police_municipale,,POINT (2.100058100000004 49.01801709968787),,,,,,police
1761,Commissariat de police de La Courneuve,police,,POINT (2.389781699999967 48.92876169971002),,,,,,police
1766,Gendarmerie - Brigade de Longjumeau,gendarmerie,"SRID=3857;POLYGON((255085.674318229 6223875.20073969,255105.667298776 6223860.59472683,255112.079301446 6223869.34821189,255112.86966983 6223870.41077427,255103.730339636 6223877.41019647,255093.04366852 6223885.13486672,255092.175376492 6223884.0048381,255086.130728142 6223875.80791859,255085.674318229 6223875.20073969))",POINT (2.291596073210876 48.69859339963428),13,Avenue du Maréchal Leclerc,91160,Longjumeau,,police
1790,,police_municipale,,POINT (2.359096000000013 48.57327299979812),,,,,,police
1799,Gendarmerie - Brigade de Nangis,gendarmerie,,POINT (3.007158000000009 48.55305319980308),,,,,,police
1803,Préfecture de police du 18e arrondissement,,"SRID=3857;POLYGON((260096.019883497 6256530.58715874,260110.513681198 6256524.05172822,260113.920057616 6256522.47713043,260118.47302479 6256532.4157257,260124.205978566 6256544.94480621,260107.162964525 6256553.08871849,260100.20549635 6256539.03581863,260104.903178862 6256536.76703939,260103.11093506 6256532.88979867,260098.313065007 6256535.17550805,260096.019883497 6256530.58715874))",POINT (2.336614183860847 48.89189323048097),,,,,,police
1804,Brigade de gendarmerie d'Évry,gendarmerie,"SRID=3857;POLYGON((271773.890877623 6210167.4154382,271783.709256711 6210152.44568028,271780.10250521 6210149.81881884,271791.167662594 6210134.15870018,271820.47808452 6210154.71892641,271831.231547331 6210139.71551318,271846.526845366 6210150.5934061,271831.331734873 6210172.66917277,271815.947381245 6210162.21222352,271809.969524589 6210170.64850524,271806.45182868 6210168.1395104,271796.466470356 6210182.99142353,271773.890877623 6210167.4154382))",POINT (2.441681041125763 48.6172112672138),11,Rue Jean Malézieux,91000,Évry,,police
1816,Brigade de gendarmerie d'Écouen,gendarmerie,,POINT (2.38461799999996 49.02262419968677),,,,,,police
1836,Brigade de gendarmerie de Guerville,gendarmerie,"SRID=3857;POLYGON((193537.328233712 6264878.45312276,193543.617784942 6264867.31836961,193565.347349545 6264881.21562847,193558.779499588 6264891.68943134,193554.63841453 6264888.48627666,193551.955614802 6264893.13000395,193545.3321051 6264889.1641929,193547.74773805 6264885.2661753,193537.328233712 6264878.45312276))",POINT (1.738698431849324 48.94114349232524),,,,,,police
