,Adresse,dep,Nom,commune,code_postal,geometry,Emplacements,Surface,permanence_24h,distance_police,distance_hopitaux,defib_moins_2km,langues_accueil,internet_partout,Classement,label
52,route de la couture,77,CAMPING DES ÉTANGS FLEURIS,TOUQUIN,77131,POINT (3.052236 48.732149),224,22400.000000000004,1,14862,18495,0,3,0,3,1
53,ferme des bruyères,91,CAMPING RURAL DES BRUYÈRES,LE VAL-SAINT-GERMAIN,91530,POINT (2.097555 48.577569),16,1600.0,0,4727,12053,1,1,0,1,0
54,Les étangs des Carreaux,77,CARAVANING LES ÉTANGS DES CARREAUX,ROZAY-EN-BRIE,77540,POINT (2.955666 48.689498),76,7600.0,0,214,31565,1,1,0,1,0
55,Chemin des Processions,77,LE MARCASSIN,MONTEREAU-FAULT-YONNE,77130,POINT (2.96358 48.382568),100,10000.0,0,1451,2493,0,1,0,1,2
56,1 VOIE DES PRES,91,CAMPING LE BEAU VILLAGE DE PARIS,VILLIERS-SUR-ORGE,91700,POINT (2.303507 48.655043),124,12400.0,1,3765,6619,0,3,0,3,1
57,Rue des mariniers,77,CAMPING MUNICIPAL LES BORDS DU LOING,SOUPPES-SUR-LOING,77460,POINT (2.730621 48.180505),175,17500.0,0,3500,10325,0,1,0,1,2
58,22 rue de beauregard,77,CAMPING CARAVANING DES 4 VENTS,CRÈVECOEUR-EN-BRIE,77610,POINT (2.895865 48.751508),199,19900.0,1,5290,14024,1,3,0,3,3
59,ROUTE DE LAGNY,77,CAMPING DU PARC DE LA COLLINE,TORCY,77200,POINT (2.652611 48.858943),271,27100.0,0,2795,7711,0,1,0,2,2
60,7 route de Mary prolongée,77,CAMPING DES 2 ÎLES,ISLES-LES-MELDEUSES,77440,POINT (3.017345 49.005719),29,2900.0,1,7302,17542,0,3,0,3,1
61,route des grandes vallées,91,CAMPING LA MUSARDIÈRE,MILLY-LA-FORÊT,91490,POINT (2.50748 48.395017),200,20000.0,1,5808,17766,1,3,0,3,3
62,route de Chatenay,77,L'ÉTANG DE L'HERMITAGE,LA TOMBE,77130,POINT (3.092168 48.393756),75,7500.0,0,7144,13471,0,1,0,1,2
63,25 ter rue de ballancourt,91,CAMPING LE NID VERT,MONDEVILLE,91590,POINT (2.413052 48.492246),190,19000.0,1,10911,27601,0,3,0,3,1
64,chemin des grèves,77,CAMPING MUNICIPAL PIERRE LE SAULT,BAGNEAUX-SUR-LOING,77167,POINT (2.703849 48.2405),160,16000.0,0,1276,6565,1,1,0,2,0
