,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
2780,Brigade de gendarmerie de Guigneville-sur-Essonne,gendarmerie,POINT (2.354264743117256 48.47801068994699),,Route de Milly-la-Forêt,91590,Guigneville-sur-Essonne,
2781,Brigade de gendarmerie de Marolles-en-Hurepoix,gendarmerie,POINT (2.309446541291261 48.56356837444545),,Rue du Potager,91630,Marolles-en-Hurepoix,
2791,,police_municipale,POINT (2.316178194571203 48.9523741979426),,,,,
2802,Commissariat de police de Brunoy,police,POINT (2.507781862653817 48.69397313042736),,,,,
2805,Gendarmerie - Brigade de Tournan-en-Brie,gendarmerie,POINT (2.760533379529512 48.7419321892489),10,Rue des Frères Vinot,77220,,
2807,Gendarmerie - Brigade de Vigny,gendarmerie,POINT (1.921819138917827 49.07878259637142),,,,,
2815,,police,POINT (2.300127426852474 49.00515418644505),,,,,
2817,,police_municipale,POINT (2.32769090000003 48.7320266997588),,,91320,Wissous,
2818,,police,POINT (2.360576776115457 48.87673165062853),,,,,
2829,,police_municipale,POINT (2.225817999999977 48.74205739975629),,,,,
2848,,police,POINT (2.391113900000014 48.65130519977877),,,,,
2850,,police_municipale,POINT (2.285452899999997 48.96756469970038),3,Allée Maurice Ravel,95210,Saint-Gratien,
2872,,police_municipale,POINT (3.095010699999971 48.81755779973759),,,,,
2920,Brigade de gendarmerie de Fosses,gendarmerie,POINT (2.513083137972314 49.0988266647819),,,,,
2933,Commissariat de police de L'Hay-les-Roses,police,POINT (2.331375900055876 48.77745724775381),,,,,
2939,,police_municipale,POINT (2.510416807493393 48.79508777243188),,,,,
2947,Commissariat de police de Moissy Cramayel Sénart,police,POINT (2.574244190659696 48.62781400584924),,Avenue Jean Jaurès,77550,Moissy-Cramayel,
2966,,police_municipale,POINT (2.305879099999983 48.90298589971638),,,,,
2972,,police_municipale,POINT (2.770689700000019 48.8575460997277),,,,,
2973,,,POINT (2.574537209531482 48.86391990958433),,,,,
2980,Commissariat de police de Coulommiers,police,POINT (3.086663599999976 48.8134811997386),19,Rue du palais de Justice,77120,Coulommiers,
2984,Commissariat de police de Garges les Gonesse,police,POINT (2.40222650000002 48.97056229969962),,,,,
3033,Commissariat de police de Deuil-la-Barre,police,POINT (2.318293699999963 48.96787049970031),9,Rue du Château,95170,Deuil-la-Barre,
3051,Brigade de gendarmerie d'Ablis,gendarmerie,POINT (1.832862248103354 48.51892735671317),,,,,
3052,Brigade de gendarmerie de Palaiseau,gendarmerie,POINT (2.248287707491318 48.71092980879715),,,,,
3063,Commissariat de police de Paris 13ème arrondissement,police,POINT (2.355897195169677 48.83303154980629),,,,,
3074,,,POINT (2.364742116435608 48.94052065234946),,,,,
3075,Commissariat de police d'Élancourt,police,POINT (1.94934120000001 48.76568909975046),1,Rue du Théâtre,78990,Élancourt,
3082,,police_municipale,POINT (2.526951999999961 48.77471609974819),,,,,
3090,,police_municipale,POINT (2.239227000000004 48.78233109974633),,,,,
3091,Commissariat de police de Provins,police,POINT (3.301029391675353 48.56473670955244),44,Avenue Alain Peyrefitte,,Provins,
3104,Commissariat de police de Lagny sur Marne,police,POINT (2.704978100000031 48.87601379972308),9,Allée Vieille et Gentil,77400,Lagny-sur-Marne,
3113,,police_municipale,POINT (2.308933900000025 48.69456339976806),,,,,
3144,,,POINT (2.304293199999974 48.87553599972319),,,,,
3148,,police_municipale,POINT (2.637865599999972 48.85163629972914),7,Rue de la Mogotte,77200,Torcy,
3161,,police_municipale,POINT (2.541005113494392 48.8231943438303),1,,,,
3163,,police_municipale,POINT (2.043918599999995 48.70763149976484),,Place de Luynes,78460,Chevreuse,
3168,,police_municipale,POINT (2.088501132913628 49.04274368417823),,Rue du Premier Dragon,95300,Pontoise,
3173,Commissariat de police de Courbevoie,police,POINT (2.252879200000022 48.89390239971865),9,Rue Auguste Beau,92400,Courbevoie,
3210,Gendarmerie - Brigade de La-Chapelle-la-Reine,gendarmerie,POINT (2.568600235032853 48.31953988268856),,,,,
3211,Gendarmerie - Brigade d'Asnières-sur-Oise,gendarmerie,POINT (2.373987699999957 49.13866629965804),,,,,
3213,Police Municipale - Centre de supervision urbain,police_municipale,POINT (2.04196609153215 48.93200720830744),20,Rue Jean-Claude Mary,78300,Poissy,
3217,,police_municipale,POINT (2.39480270000003 48.82575649973553),,,,,
3226,Commissariat du 14e arrondissement,police,POINT (2.323105977513295 48.83613770227581),,,,,
3229,,police_municipale,POINT (2.253830099999974 48.92266059971151),,,,,
3236,Commissariat de police de Bois-Colombes,police,POINT (2.273825758967402 48.92015970246273),,,,,
3249,Commissariat de police de Sevran,police,POINT (2.530687186202997 48.93906219674205),5-7,Rue Gabriel Péri,93270,Sevran,
3259,Poste de Police du Val d'Argent Nord,police,POINT (2.227431300000005 48.95251759970413),,,,,
3260,Commissariat de police de Vincennes,police,POINT (2.438091199999988 48.84647649973044),23,Rue Raymond du Temple,94300,Vincennes,
3262,,police,POINT (2.332522215630989 48.7938331537303),,,,,
3292,Brigade de gendarmerie de Montsoult,gendarmerie,POINT (2.318663099999972 49.06784259967558),,,,,
3293,,police_municipale,POINT (2.207332176543763 49.01236954265549),,,,,
3296,Commissariat de police de Nogent-sur-Marne,police,POINT (2.483503699999992 48.83635459973289),,,,,
3302,Commissariat de police de Paris 3ème arrondissement,police,POINT (2.351995000000041 48.86327359972626),4,Rue aux Ours,75003,Paris,
3308,Brigade de gendarmerie de Roissy-en-France,gendarmerie,POINT (2.509615204134142 49.00244111770016),,,,,
3309,Brigade de gendarmerie de Dourdan,gendarmerie,POINT (2.000916660112669 48.52933941795651),,,,,
3326,Commissariat de police de Plaisir,police,POINT (1.962936953055336 48.81881325131449),889,Avenue François Mitterrand,78370,Plaisir,
3337,,police_municipale,POINT (2.702065399999972 48.40469979983961),,,,,
3358,,police_municipale,POINT (2.345482300000035 48.75081139975418),35,Place Louis XIII,94150,Rungis,
3390,,,POINT (2.366286899999965 48.82485889973575),,,,,
3392,Peloton motorisé de Mantes-la-Jolie,gendarmerie,POINT (1.70175349999999 48.99247309969422),,,,,
3409,Gendarmerie - Peloton d'autoroute de Nemours,gendarmerie,POINT (2.71370420000002 48.26979659987259),,,77140,Nemours,
3412,,police_municipale,POINT (2.257898603062938 48.89824657984037),,,,,
3430,,police_municipale,POINT (2.300538344341532 48.75505499671019),,,,,
3439,Commissariat de police d'Athis Mons,police,POINT (2.382522600000034 48.7079272997648),21,Rue Jean-Baptiste de la Salle,91200,Athis-Mons,
3441,Gendarmerie - Brigade motorisée de Rambouillet;Gendarmerie - Brigade de Rambouillet,gendarmerie,POINT (1.82326400364485 48.64893550610612),1,Rue Pasteur,78120,Rambouillet,
3445,,police_municipale,POINT (2.121043025039664 48.82819801961487),,,,,
3451,Commissariat de police de Longjumeau,police,POINT (2.296194400000033 48.69545339976789),,,,,
3458,Commissariat de police de Noisy-le-Sec,police,POINT (2.458567599999994 48.88774149972016),,,,,
3473,Commissariat de police de Paris 8ème arrondissement,police,POINT (2.313122399999956 48.86709779972528),,,,,
3501,,police_municipale,POINT (2.294363200000038 48.82491109973578),,,,,
3516,Commissariat de police de Versailles,police,POINT (2.134389700000018 48.80154569974156),19,Avenue de Paris,78000,Versailles,
3520,,police_municipale,POINT (2.589531536291202 48.87555186631701),12,Rue Adolphe Besson,77500,Chelles,
3536,Commissariat de police de Neuilly-sur-Marne,police,POINT (2.526579399999958 48.85536279972823),,,,,
3537,Commissariat de police de Maisons-Alfort,police,POINT (2.437462583857286 48.80385976041534),,,,,
3539,Commissariat de police de Levallois-Perret,police,POINT (2.290146899999964 48.89370459971869),,Rue Rivay,92300,Levallois-Perret,
3545,,police_municipale,POINT (2.134565099999972 48.70122989976645),,,,,
3551,Commissariat de police d'Aulnay-sous-Bois,police,POINT (2.50035100090584 48.92698756653959),,,,,
3559,Commissariat de police de Poissy,police,POINT (2.043512045051283 48.92689931767581),16,Boulevard Louis-Lemelle,78300,Poissy,
3566,Gendarmerie - Brigade de Méry-sur-Oise,gendarmerie,POINT (2.181838900000034 49.06675339967584),,,,,
3569,Commissariat de police de Monterau-Fault-Yonne - Secteur Surville,police,POINT (2.955105923465895 48.3968349045651),9,Rue Fleur Begne,77130,Montereau Fault Yonne,
3580,Commissariat de police du Kremlin-Bicêtre,police,POINT (2.345757800000003 48.80562229974055),,,,,
3586,Brigade de gendarmerie de Ballancourt-sur-Essonne,gendarmerie,POINT (2.386814572790112 48.52940611774947),30,Rue Jeanne Pinet,91610,Ballancourt-sur-Essonne,
3591,,police_municipale,POINT (2.234618999999962 49.00114099969207),,,,,
3594,Brigade motorisée de Meaux,gendarmerie,POINT (2.89183170000003 48.95826369970268),,,,,
3609,,police_municipale,POINT (2.172860066529388 48.91084337322569),,,,,
3619,Gendarmerie - Brigade motorisée de Provins,gendarmerie,POINT (3.305413800000005 48.55834919980176),13,Rue du Colonel Arnaud Beltrame,77160,Provins,
3624,,police_municipale,POINT (2.063806400000008 48.80079319974176),,,,,
3641,,police_municipale,POINT (2.050881153931717 48.75839397965598),,,,,
3647,,Police municipale,POINT (2.33438104116698 48.63375009544638),,,,,
3693,Commissariat de police de Saint-Denis,police,POINT (2.353791249502128 48.94049678775518),,,,,
3728,,police_municipale,POINT (2.242807400000037 48.65968949977673),,,,,
3736,Commissariat de police de Montreuil-sous-Bois,police,POINT (2.442777771590123 48.8644129088495),,,,,
3737,Commissariat de police du 19e arrondissement,police,POINT (2.386161599999974 48.88432829972102),,,,,
3739,Commissariat de police du Blanc-Mesnil,police,POINT (2.462382500000018 48.93888569970746),,,,,
3754,Commissariat de police de Issy-les-Moulineaux,police,POINT (2.270205980938518 48.82335023755655),22,Avenue Victor Cresson,92130,Issy-les-Moulineaux,
3777,,police_municipale,POINT (2.473325199999986 48.80631079974036),,,,,
3783,Commissariat de police d'Antony,police,POINT (2.297664800000011 48.76063489975169),50,Avenue Galliéni,92160,Antony,
3831,,police_municipale,POINT (2.180246999999979 48.88668489972041),,,,,
3846,Gendarmerie - Brigade de Mortcerf,gendarmerie,POINT (2.91731284830781 48.78707233957066),,,,,
3870,Commissariat de police de Villeneuve-la-Garenne,police,POINT (2.331333499999997 48.93127599970937),19bis,Rue du Fond de la Noue,92390,Villeneuve-la-Garenne,
